command,intent,labels
play song ain't no rest for the wicked,play_song,0
play song Bohemian Rhapsody,play_song,0
play song Sweet Child O' Mine,play_song,0
play song Hotel California,play_song,0
play song Imagine,play_song,0
play song Let It Be,play_song,0
play song Stairway to Heaven,play_song,0
play song Smells Like Teen Spirit,play_song,0
play song Billie Jean,play_song,0
play song Like a Rolling Stone,play_song,0
play song Hey Jude,play_song,0
play song Purple Rain,play_song,0
play song Every Breath You Take,play_song,0
play song Thunderstruck,play_song,0
play song Walk This Way,play_song,0
play song Back in Black,play_song,0
play song I Will Always Love You,play_song,0
play song Losing My Religion,play_song,0
play song What's Going On,play_song,0
play song My Heart Will Go On,play_song,0
play song Livin' on a Prayer,play_song,0
play song Under Pressure,play_song,0
play song Don't Stop Believin',play_song,0
play song Beat It,play_song,0
play song Rocket Man,play_song,0
play song Yesterday,play_song,0
play song A Hard Day's Night,play_song,0
play song Satisfaction,play_song,0
play song Bridge Over Troubled Water,play_song,0
play song Light My Fire,play_song,0
play song Shape of You,play_song,0
play song Perfect,play_song,0
play song Someone Like You,play_song,0
play song Rolling in the Deep,play_song,0
play song Hello,play_song,0
play Arctic Monkeys radio,play_radio,1
play artist radio The Beatles,play_radio,1
play artist radio Queen,play_radio,1
play artist radio Led Zeppelin,play_radio,1
play artist radio Nirvana,play_radio,1
play artist radio Michael Jackson,play_radio,1
play artist radio Rolling Stones,play_radio,1
play artist radio U2,play_radio,1
play artist radio Madonna,play_radio,1
play artist radio Prince,play_radio,1
play artist radio The Police,play_radio,1
play artist radio AC/DC,play_radio,1
play artist radio Whitney Houston,play_radio,1
play artist radio R.E.M.,play_radio,1
play artist radio Marvin Gaye,play_radio,1
play artist radio Celine Dion,play_radio,1
play artist radio Bon Jovi,play_radio,1
play artist radio David Bowie,play_radio,1
play artist radio Elton John,play_radio,1
play artist radio The Who,play_radio,1
play artist radio Fleetwood Mac,play_radio,1
play artist radio Aerosmith,play_radio,1
play artist radio Red Hot Chili Peppers,play_radio,1
play artist radio Bruce Springsteen,play_radio,1
play artist radio Pink Floyd,play_radio,1
play artist radio The Eagles,play_radio,1
play artist radio Bob Dylan,play_radio,1
play artist radio Billy Joel,play_radio,1
play artist radio Stevie Wonder,play_radio,1
play artist radio Ed Sheeran,play_radio,1
play artist radio Adele,play_radio,1
play artist radio Coldplay,play_radio,1
skip,skip_track,2
next track,skip_track,2
move to the next song,skip_track,2
jump to next,skip_track,2
go forward a song,skip_track,2
advance to the next track,skip_track,2
skip ahead,skip_track,2
skip this song,skip_track,2
move forward,skip_track,2
next song please,skip_track,2
skip current track,skip_track,2
go to next track now,skip_track,2
forward one song,skip_track,2
skip to the next,skip_track,2
next please,skip_track,2
move to next,skip_track,2
